role,genre,age,comment,kind_of_comment,complaint
alumno,hombre,29,El precio de la comida está carísimo para lo que entregan.,negativo,precio
trabajador,hombre,48,"Todo bien, gracias por mantener la cafetería ordenada.",neutro,
madre,mujer,69,"Como madre de familia, el sabor de la comida de la cafetería de la Universidad Panamericana deja mucho que desear.",negativo,sabor
alumno,mujer,20,Me encanta la vibra de la cafetería; siempre hay buen ambiente para estudiar entre clases.,positivo,
alumno,hombre,25,El precio está caro para lo que ofrecen y la atención deja mucho que desear.,negativo,precio
alumno,hombre,17,La variedad es muy limitada y no encuentro opciones que me gusten para comer entre clases.,negativo,variedad
alumno,hombre,26,"La cafetería funciona bien, sin complicaciones para estudiar.",neutro,
padre,hombre,47,"En general, la cafetería funciona para los días ocupados.",neutro,
madre,mujer,50,"Como mamá, la comida está deliciosa y el ambiente es muy agradable.",positivo,
alumno,hombre,18,"El sabor de la comida está mal, no invita a comer entre clases.",negativo,sabor
madre,mujer,79,"Como madre de 79 años, el sabor de la comida de la cafetería ya no me gusta.",negativo,sabor
trabajador,mujer,34,"Como trabajadora, me encanta la atención y el ambiente.",positivo,
visita,mujer,70,"Como mujer visitante de 70 años, siento que el precio está demasiado alto para lo que ofrecen.",negativo,precio
alumno,hombre,18,"Precio exageradamente alto, la comida no alcanza para mi presupuesto.",negativo,precio
visita,mujer,40,"Como mujer visitante, las instalaciones están descuidadas y el ambiente no invita a quedarte.",negativo,instalaciones
alumno,mujer,23,"Como alumna, la comida está deliciosa y el servicio es muy amable.",positivo,
trabajador,hombre,39,"Como trabajador, valoro el buen servicio y el ambiente de la cafetería.",positivo,
madre,mujer,45,"Como madre, me encanta la atención y la calidad de la cafetería de la Universidad Panamericana.",positivo,
padre,hombre,45,"Como papá de 45 años, la cafetería de la Universidad Panamericana me deja muy satisfecho.",positivo,
alumno,hombre,19,"La cafetería funciona, sin nada que destacar.",neutro,
alumno,mujer,28,"Como alumna, el sabor de la comida es lo que más me falla; el resto podría mejorar.",negativo,sabor
alumno,hombre,20,La cafetería funciona bien para mis días en la uni.,neutro,
padre,hombre,70,"Como padre de 70 años, la variedad de opciones en la cafetería ya no cubre mis gustos y me deja con poco para elegir.",negativo,variedad
padre,hombre,61,"Como padre, el precio en la cafetería está muy alto; no vale lo que cuesta y la atención deja mucho que desear.",negativo,precio
maestro,mujer,44,"Como profesora, la cafetería de la universidad siempre ofrece excelente atención y un ambiente agradable.",positivo,
trabajador,hombre,43,"Como trabajador, valoro la atención cordial y la rapidez; la cafetería mantiene al equipo con buena energía.",positivo,
madre,mujer,55,"Como mamá de la universidad, la cafetería siempre me recibe con calidez y buen sabor.",positivo,
alumno,mujer,23,El sabor de la comida de la cafetería ha estado pésimo; ojalá lo mejoren pronto.,negativo,sabor
alumno,hombre,25,La cafetería siempre me da energía entre clases.,positivo,
alumno,hombre,25,"Por ahora, todo está en orden.",neutro,
alumno,hombre,21,"La cafetería está bien, sin nada que señalar.",neutro,
alumno,mujer,22,"El sabor de la comida de la cafetería está mal, parece que no hay sazón y la textura no ayuda.",negativo,sabor
madre,mujer,68,"Como madre ocupada, agradezco la atención y la variedad, siempre encuentro algo sabroso para el día.",positivo,
alumno,hombre,30,"La cafetería de la Universidad Panamericana siempre tiene buen ambiente y servicio, me encanta.",positivo,
maestro,mujer,31,"Como maestra, el precio en la cafetería es excesivo y la atención podría mejorar.",negativo,precio
maestro,mujer,39,"Como maestra, me encanta la cafetería; buen ambiente y servicio amable.",positivo,
alumno,hombre,23,"Como estudiante, la cafetería está de lujo, buen ambiente y servicio rápido.",positivo,
alumno,hombre,19,La cafetería está chida y siempre atienden bien.,positivo,
alumno,mujer,18,"Como alumna de 18 años, los precios en la cafetería están muy altos para lo que ofrecen.",negativo,precio
maestro,hombre,48,"Como profesor, la cafetería me recarga entre clases.",positivo,
maestro,mujer,39,"Como profesora, el precio de la comida está carísimo para lo que ofrecen.",negativo,precio
alumno,hombre,22,La cafetería tiene un ambiente increíble y el servicio es excelente.,positivo,
trabajador,mujer,40,"Como trabajadora de la cafetería, el precio está muy alto para lo que ofrecen; ya no me compensa.",negativo,precio
trabajador,mujer,29,"Como empleada, la cafetería funciona con normalidad.",neutro,
alumno,mujer,30,"El sabor de la comida en la cafetería está mal, como alumna de 30 años, la neta, el precio es alto para lo que ofrecen.",negativo,sabor
visita,mujer,49,"Excelente experiencia, volveré a esa cafetería pronto.",positivo,
maestro,hombre,58,"Como maestro de 58 años, la variedad de opciones en la cafetería es muy limitada.",negativo,variedad
alumno,hombre,25,No me convence el sabor de la comida de la cafetería; está insípido y le falta sazón.,negativo,sabor
alumno,mujer,23,"La cafetería de la uni está increíble, siempre me da buena energía entre clases.",positivo,
maestro,mujer,48,"Como profesora de 48 años, el precio está por las nubes y la atención podría mejorar.",negativo,precio
alumno,hombre,18,Las instalaciones de la cafetería están pésimas; como alumno de 18 años me frustra el mobiliario y el ambiente.,negativo,instalaciones
maestro,mujer,51,"Como maestra, el precio está por encima de lo razonable y la atención deja mucho que desear.",negativo,precio
madre,mujer,72,"Como madre de 72 años, el sabor me decepciona.",negativo,sabor
madre,mujer,54,"El sabor de los platillos deja mucho que desear; como madre que acompaña a su hijo, espero mejoras.",negativo,sabor
alumno,mujer,25,"Me encanta la cafetería, siempre me atienden con buena vibra.",positivo,
alumno,hombre,25,Las instalaciones están deplorables; se ven descuidadas y no invitan a estudiar.,negativo,instalaciones
alumno,hombre,18,"El precio está por las nubes; como alumno de 18 años, no vale lo que pago.",negativo,precio
maestro,mujer,39,"Las instalaciones están en mal estado y, como profesora, afectan mis clases diarias.",negativo,instalaciones
padre,hombre,42,Sabor deficiente en la cafetería; espero que mejoren la calidad para que mi hijo esté satisfecho.,negativo,sabor
